Station,LAT,LONG,ELEVATION
56079,33.583,102.967,3441.4
56093,34.433,104.017,2315
56096,33.4,104.917,1079.1
56182,32.667,103.6,2850.7
56188,31,103.667,698.5
56196,31.45,104.733,522.7
57106,33.317,106.15,794.2
57206,32.433,105.85,513.8
57211,32.833,106.25,836.1
57237,32.067,108.033,674
57238,32.533,107.9,693.9
57306,31.583,105.967,382.6
57313,31.867,106.767,417.7
57314,31.35,106.067,405.7
57328,31.2,107.5,344.9
57405,30.5,105.55,355
57411,30.783,106.1,309.7
57502,29.7,105.7,394.7
57512,29.967,106.283,230.6
57516,29.583,106.467,259.1
